,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
0,01022500,0.7137252847897437,0.1555640563035366,0.7966657050855771,0.20399370789527893,0.4104119439347572,7.2438578605651855,5.632306653018829,0,0,522,0,70,48,-3.047822069004344,-2.3098385536525554
1,01031500,0.750468802455591,0.007012325369104337,0.715271145016143,0.10147995501756668,0.4788181071105896,8.6257963180542,6.571746381910605,0,0,602,0,315,82,-3.4704136279808453,-2.1283639863964057
2,01047000,0.7821472661625847,-0.04204197093664756,0.8215667801265265,0.19784098863601693,0.5013299505179895,8.48922557830809,7.441303695124088,0,0,297,0,248,74,-2.9816648519869386,-2.2321902537087297
3,01052500,0.7639297358298817,0.013162252636573536,0.7075989520935255,0.2984311878681183,0.6008100529295068,8.896979618072475,7.144167908349961,0,0,134,0,225,63,-2.5849453102727518,-1.9731285772717975
4,01054200,0.6213177840523461,-0.008592752491163768,0.6483980810042247,0.2851389944553375,0.6276177744844993,10.550142288208008,8.77214276069527,0,0,199,0,246,73,-2.8072995153586877,-2.26617346734606
5,01055000,0.6090769944187753,0.0744455266577964,0.6189731609560344,0.20480571687221527,0.507980122712393,8.955860996246322,6.86942335721294,0,0,271,0,262,82,-2.884875175690765,-2.1899243223458145
6,01057000,0.7506646142503979,-0.07011356327049617,0.8391289132146428,0.09257456660270691,0.4421640601911318,7.701689720153809,6.4639454379173396,0,0,623,0,208,50,-3.012240792270775,-2.2646857502918545
7,01073000,0.8102049268193684,0.007058694668397595,0.796716415536256,0.06404349207878113,0.37475694014058203,6.248146057128906,4.983242999490736,0,0,966,11,146,63,-3.452831226219406,-2.304488000102324
8,01078000,0.7346874130859944,0.00792160316993498,0.8146568402179473,0.14318667352199554,0.41004198517123885,7.0723204135894715,5.376542317215165,0,0,512,4,165,54,-2.8312400280755705,-2.1887975275424956
9,01123000,0.73616074415194,0.1732760070777045,0.8005305877908674,0.21735736727714539,0.2986852209790485,5.134674072265625,4.05969183930343,0,0,282,26,80,58,-2.7210351019686714,-2.4968987877872317
10,01134500,0.716089423957954,0.03732909439660001,0.7703886046895375,0.26390522718429565,0.5613681543572396,7.31897158622739,6.118927657027369,0,0,216,0,134,50,-2.5458464268568086,-1.9019685491497142
11,01137500,0.730062796933624,-0.09904035475012625,0.9569345128325069,0.5178257822990417,0.6863997417477188,8.558149909973126,8.523452735641769,0,0,43,0,122,62,-2.3775191732472676,-2.087946330056269
12,01139000,0.7182916681887808,-0.07255928635716503,0.9836252853890247,0.28715912699699436,0.5003753454349483,5.352300310134872,5.585230465675155,0,0,144,0,53,40,-2.333661340377595,-1.9481880634895834
13,01139800,0.49355791075188593,-0.01998099697003557,1.034072395407913,0.26397544145584106,0.49822053245275855,5.596279144287109,5.665380982859888,0,0,268,0,27,45,-2.36087773357629,-1.9791093120608747
14,01142500,0.6828198772547496,-0.1152551060414985,0.9838163275901655,0.219991073012352,0.5002442555506961,5.8870849609375,6.430372626623791,0,0,295,0,72,40,-2.443866293513395,-2.0535537136840687
15,01144000,0.7949291722715237,-0.053192979262424084,0.931179684659868,0.26022621989250183,0.5057951834415796,6.3289757728576586,6.369645143454384,0,0,231,0,71,44,-2.491996772052567,-2.070608555892775
16,01162500,0.6516834373855505,0.09250785638730862,0.8022147148146769,0.08281208574771881,0.3778575944564355,6.624967098236084,5.030615758198279,0,0,816,7,109,43,-3.0865745037078267,-2.083272164825867
17,01169000,0.6770766860957569,0.03795085727258461,0.7380246183929604,0.2123667597770691,0.4429003843648903,7.691923761367774,6.643387609897826,0,0,408,0,118,50,-2.5891373399527238,-2.222617211230614
18,01170100,0.6928246545438679,-0.012379583610406086,0.8707976649903725,0.20544175803661346,0.4470298169844296,7.510037422180176,6.888143942870471,0,0,498,1,89,48,-2.646282715752259,-2.2411321205120363
19,01181000,0.7221496369088498,-0.028378244630284145,0.7176623011382127,0.15080298483371735,0.437434185619975,7.61152954101562,6.693570664313945,0,0,587,0,141,42,-2.594844898195233,-2.086476332935267
20,01187300,0.6931405176593024,0.015016057942083471,0.6800074063149749,0.061735764145851135,0.3931787454941269,7.408291339874268,6.1110978302484655,0,0,857,13,176,49,-3.1696016823717805,-2.2445168285198727
21,01195100,0.6275679447350451,0.10830841111021074,0.6777158057574593,0.036603353917598724,0.34446690640487654,5.174383258819489,3.7133053949767607,19,0,1209,0,107,30,-3.76517108217118,-2.121659763327562
22,04296000,0.7692328756658464,-0.08977515137223141,0.980448167284788,0.3175927400588989,0.5384058118353131,6.213198423385617,5.882294992077128,0,0,78,0,89,35,-2.4246038743273255,-1.8540432685517263
23,01333000,0.6879137374394944,0.13060420716127308,0.7431605875863768,0.24402236938476562,0.43901207817221755,7.032280921936035,5.5318295651988505,0,0,368,0,68,37,-2.514311326893223,-1.9183817760433486
24,01350000,0.653933331698997,0.027542946107899584,0.6465614366398147,0.11563683301210403,0.4920456532404584,7.855329990386963,6.60557853753608,0,0,727,0,174,53,-3.042685117107999,-1.9977045581221775
25,01350080,0.6061145412022512,0.0019736909984448482,0.6836719089507457,0.07583590596914291,0.4306684270784393,5.223927450180038,4.665829284670999,0,0,925,0,137,42,-3.421151099285318,-1.8181803608438627
26,01350140,0.5892439629194306,-0.035854807962292255,0.6383813623570948,0.040251366794109344,0.44333475479604156,5.483519554138184,4.940454093971053,0,0,1000,0,160,43,-3.254302111652127,-1.869743649978279
27,01365000,0.7296692749073568,0.12851203012670334,0.7594653661395548,0.29609358310699463,0.5135254940477191,8.663205432891832,7.336874904350077,0,0,440,0,83,55,-2.3336613646239077,-1.9870032969727076
28,01411300,0.3588523318353779,0.10068681522112201,0.9900616166773365,0.33751145005226135,0.2070396665733754,3.2830660343170166,2.973461707209409,0,0,29,111,18,32,-1.7517511753200468,-2.1369993509293366
29,01413500,0.711878921909976,0.0834704792421339,0.7161896620566042,0.15653905272483826,0.4712367167840949,6.261562347412109,5.627295188090465,0,0,608,0,89,51,-2.7720782105941026,-1.8694725993729386
30,01414500,0.6344067080882296,0.13672025611519675,0.6965467631486394,0.1950066089630127,0.49235552820271666,6.825231552124023,5.919979442050446,0,0,490,0,87,46,-2.802875178529545,-1.858724343862692
31,01415000,0.7150674470715466,0.0023769721601602173,0.8089072592276282,0.11385928094387054,0.46544750780444905,5.920682907104492,5.434437255050177,0,0,643,0,91,44,-2.7766386343150073,-1.900626950764816
32,01423000,0.7780833572233983,0.0400584938145422,0.7699594360720934,0.11101280152797699,0.4635562166974114,6.068699836730926,5.322244221595419,0,0,678,0,90,45,-2.8123596767162087,-1.880764434766668
33,01434025,0.6354200233324722,0.06096357500462653,0.6594673374175094,0.2540408968925476,0.5547975958211594,9.39951229095459,8.329812864804474,0,0,420,0,135,51,-2.3699839225425086,-2.0422958809715586
34,01435000,0.6767245357671821,0.20133222724318833,0.6347184228311638,0.4256901144981384,0.5226273921907785,9.265854835510254,7.367691970134267,0,0,208,0,93,54,-2.006232033122678,-1.971112112161008
35,01439500,0.7039603960222012,0.13025651754660258,0.9255905292884091,0.12115795910358429,0.3744166949521405,5.955317354202258,5.068311101648886,0,0,735,8,52,52,-2.503453353191071,-2.096029651798143
36,01440000,0.7408428780842644,0.14937639062428898,0.7631861501475714,0.1624273806810379,0.3143721478361994,5.332048225402824,4.319910394834923,0,0,570,34,62,57,-2.5592327916407247,-2.0787326379502633
37,01440400,0.7696162203927559,0.10325422755048377,0.7869449859615464,0.20076553523540497,0.4051092913714751,6.5248799324035645,5.427931092879375,0,0,558,8,72,51,-2.5535724344174207,-2.1254114800008517
38,01451800,0.7215820300347284,0.12347716343834356,0.7064720276508544,0.12124940007925034,0.312620938997995,6.04642219543456,4.317943366066357,0,0,535,68,139,45,-2.9957921749919176,-1.9599594769059412
39,01466500,-6.388935931284382,-0.6447715218324529,3.052783649535577,0.3418201208114624,0.22685547246482862,1.4879229068756104,3.336060059025865,0,0,0,158,8,31,-1.080833099287003,-2.045913794023352
40,01484100,0.5300047849034174,0.10009652456356433,0.8965078511250825,0.1658499836921692,0.19783165469170624,3.1292450428009033,3.0974053047292407,0,0,344,145,42,39,-2.0274231449392413,-2.277839613942068
41,01487000,0.4875697075229978,0.14992717991574397,1.0987975687130014,0.26320523023605347,0.19212477778894552,3.2725181579589777,3.1389026895901018,0,0,91,170,18,48,-2.2558800248554416,-2.266469143053818
42,01491000,0.5339770421602397,0.17834930697170503,0.6144376341703289,0.10035738348960876,0.18600532596094463,4.501028871536246,3.1233926633708116,0,0,672,156,115,38,-2.9584042346161787,-2.2618894803415155
43,01510000,0.7561763673356017,0.07690072442714062,0.7042472092285126,0.13500458002090454,0.45746257184297767,6.435218381881679,4.992369943090108,0,0,636,0,132,37,-3.024265469569766,-1.9248219150984847
44,01516500,0.5107164562954322,-0.24719163837557437,0.5893293714763922,0.018590794876217842,0.34837455297543796,3.4160584926604805,3.2722636046189466,0,0,1040,0,254,36,-4.200892003393609,-1.6282102370088238
45,01518862,0.610030954833426,-0.14925418955667633,0.6072087566768595,0.03650785982608795,0.40246027439540394,4.403891086578358,3.83860773190526,0,0,1131,0,243,37,-4.302475873253109,-1.7440787576464738
46,01532000,0.5581316403234827,-0.06331448691108846,0.5853443408915339,0.04219678044319153,0.3583685964844524,4.6152729988098145,3.9094731655414003,0,0,842,0,215,45,-3.3940193248549493,-1.7712548794656016
47,01539000,0.7935559135467938,0.055200360496792146,0.7432321615424734,0.12071577459573746,0.37184243178610893,5.311493873596191,4.444678660631081,0,0,639,4,91,45,-2.8120811326864623,-1.9468029717435267
48,01542810,0.5809716711392496,0.0981527580734606,0.49263305852898054,0.0414804145693779,0.3705260718027199,5.9515380859375,3.872936890955658,0,0,978,0,280,40,-4.0641636291549394,-1.8709084560798244
49,01543000,0.7177969882538116,0.0900147027339944,0.6038640426012791,0.05906450375914574,0.3698325690222833,5.805693292617779,4.0547035088371475,0,0,933,0,177,37,-3.635643218538968,-1.9649371909137763
50,01543500,0.734230693967842,0.10822162621951607,0.6472374071406216,0.06056482866406445,0.3529184706143196,5.601212024688721,3.9083876307987717,0,0,1007,0,142,39,-3.4692655950838063,-1.9844709932889855
51,01544500,0.7361624873721839,0.0881245720089668,0.6782572341172203,0.07643641531467438,0.36419795794648097,5.4554754734039275,4.113440644247483,0,0,925,0,121,33,-3.3291280855907224,-1.9361708487118185
52,01545600,0.7701565767425451,-0.01559953598147665,0.8457617204280609,0.06545676290988922,0.3495874186235335,4.970623016357422,4.228677495466825,0,0,969,0,98,40,-3.2399950903797894,-2.003977477295762
53,01547700,0.6866652521965577,0.08665818026346939,0.5672896475613367,0.03642980754375458,0.2666628147054131,4.7144455909729,3.1623237098858485,0,0,1138,0,238,51,-4.324595031139107,-2.040932076323998
54,01548500,0.7858878543022252,0.0017235627352572961,0.7458408639876773,0.0876188650727272,0.37387387267237465,4.787744998931885,3.8102866514344402,0,0,757,0,131,38,-3.5077832659947266,-1.8042205124116828
55,01549500,0.6634391439775653,0.07401039848520427,0.6051310469504347,0.06016119197010994,0.34106723594872607,4.690066337585436,3.578214671904861,0,0,992,0,159,39,-3.452831026074716,-1.7676058153864946
56,01550000,0.6213458067239906,0.17005827403704163,0.5853820168736967,0.09286442399024963,0.34767180127092023,5.462613105773926,3.758071444122423,0,0,772,0,118,38,-3.1891604044763158,-1.760501724331775
57,01552000,0.7700004649618544,-0.0063954456680066114,0.8185065928397643,0.1151418387889862,0.39241003973449085,5.12924289703368,4.7037919665844115,0,0,651,1,83,44,-2.870410548165907,-1.8796061187493351
58,01552500,0.7134742116677883,0.007446255733428203,0.7269913246522851,0.10720951855182648,0.4228346270877686,5.916377067565918,5.294449646592024,0,0,764,3,96,47,-2.708538995275054,-1.958699309487237
59,01557500,0.7263742430185083,0.1446857514825515,0.7257073320160206,0.11571820825338364,0.297536082443183,5.573760509490954,3.723394054754098,0,0,835,7,129,43,-3.419591615833857,-2.227858972343872
60,01567500,0.6989138465842197,0.02343470151533473,0.7626819009049848,0.23310790956020355,0.2546447375506452,3.969134569168091,3.5480651408027155,0,0,57,91,103,50,-2.5463780658900275,-2.18097125560971
61,01568000,0.7279813668251975,0.11669817193873595,0.6617848564548998,0.12783043086528778,0.2407791178249163,4.656679630279541,3.5554290621449445,0,0,422,115,122,50,-3.1697962472303174,-2.22520890707933
62,01580000,0.5623791560951328,0.06053415427404668,0.9679244954030652,0.3303607702255249,0.18252336573442296,3.023301839828491,3.596807646713816,0,0,98,253,31,37,-1.8035357016341778,-2.3325627708795764
63,01583500,0.40381615756335154,-0.06361853302302252,1.100891683616834,0.284457802772522,0.17732465937600989,2.5127105712890625,3.5011109996508134,0,0,86,236,26,40,-1.7163497769067941,-2.3785721825919386
64,01586610,0.5583451497424703,0.08311125210978058,0.7287439069774989,0.21938244998455048,0.15525678412754843,3.003851890563965,3.0875011742643688,0,0,115,242,55,48,-2.2841568981992064,-2.3845386904631973
65,01591400,0.47441582552128003,0.04519956725286803,0.6814729874893245,0.18157821893692017,0.1393446155893469,2.4347987174987793,3.0203313379490213,0,0,223,262,72,61,-1.9815954231129058,-2.503818842707917
66,01594950,0.6614191485208918,-0.015031967307615813,0.6836850698248137,0.01643534190952778,0.3768436387350214,6.574136257171631,5.406377169765464,67,0,1345,14,141,32,-4.131226815239395,-2.5093481860587534
67,01596500,0.6734347790580006,0.11630494907384901,0.5819986881557087,0.044268302619457245,0.2784227501134211,6.313045024871826,4.095434430183619,0,0,1085,34,282,58,-4.153169793339006,-2.5194698937180084
68,01605500,0.6218367355118,-0.1769292728395861,0.7041062789730126,0.1583852618932724,0.2380131746454117,3.2421463489532445,3.367787698713514,0,0,0,62,120,41,-2.8514645563351513,-2.288910876771213
69,01606500,0.6673597536655553,-0.0791824680593179,0.6789603592255098,0.11613297462463379,0.25872247251016056,4.195303440093994,3.7480191688473083,0,0,393,48,145,42,-3.4188265674408176,-2.3385349724957445
70,01632000,0.5028881667235674,-0.06593150601100994,0.4898805177547445,0.014400488696992397,0.13615093735035666,3.280611276626587,2.940587582594472,0,0,1000,220,350,63,-4.389691563282909,-2.499738390019978
71,01632900,0.6095964962161292,-0.047352936183196484,0.703741615830767,0.1110614612698555,0.10112543828267043,2.393879342079157,2.4242176424644386,0,0,113,308,114,68,-2.754108556211588,-2.5373322909734606
72,01634500,0.5623833337531079,0.06415960499748204,0.5327126533317197,0.07866002395749096,0.11489132085160854,3.372467279434204,2.796885063441803,0,0,346,282,218,75,-3.532580517025468,-2.499114938883049
73,01638480,0.5766279755958834,-0.06871389796432864,0.559921216463683,0.02322983928024769,0.16611622538411702,3.432736587524408,3.291435849219582,0,0,998,202,171,60,-3.9120731406452016,-2.383838047719413
74,01639500,0.6320193620587029,0.009130787121008097,0.6729891257046229,0.148240327835083,0.17776565887785645,3.558694362640376,3.3487891439563544,0,0,219,187,106,41,-2.5129674762355156,-2.2907440779601327
75,01644000,0.7148161145149422,-0.06476174994911142,0.695712393178418,0.021063968539237976,0.15314988372258334,3.4442434310913086,3.2182027828328392,0,0,1032,237,159,69,-3.8108085342360263,-2.515474268577331
76,01664000,0.7322805650381469,-0.08626462633783895,0.9260244004908741,0.05175539031624799,0.15666201299431187,3.1450178623199463,3.42796864023046,0,0,796,252,88,72,-3.066563226590022,-2.4715602467051325
77,01666500,0.8061476362877787,-0.03408453946492099,0.833409338062635,0.12142869830131531,0.142594394966376,3.1624257564544678,3.5388782497730813,0,0,393,300,60,80,-2.5239671548884917,-2.6972256189131163
78,01667500,0.797291567051263,-0.0031516948984487455,0.8464725189845712,0.09086846560239792,0.11942919586009064,3.3338631391525158,3.3875331047653203,0,0,507,377,88,84,-2.8075773209858976,-2.8182427211112557
79,01669000,0.5601132150588801,-0.03302311262804129,1.1229131854307843,0.06096981093287468,0.15301184656864175,2.980746269226074,2.9986789279708357,27,0,651,254,52,54,-2.8229037044342378,-2.1381199374532365
80,01669520,0.3055849501631337,0.09033649676252545,0.8954605511048656,0.01040402241051197,0.1530791976388622,3.3041442394256544,2.9531877154698827,56,0,1015,244,57,57,-3.0913352169880395,-2.1838063545298683
81,02011400,0.7835331356595916,-0.22483822581591184,0.8507388283030124,0.12038625031709671,0.22182790135655753,3.1902356147766113,3.289478351118483,0,0,117,84,128,39,-3.163042366801173,-2.3572692214210154
82,02013000,0.6551430674986947,-0.03434823973255548,0.5973473234556704,0.08166943490505219,0.16371895286979898,3.4371165275573663,2.9126252586623327,0,0,251,141,270,63,-3.648402437351321,-2.362312554923472
83,02014000,0.7690558000577628,-0.003328885274709746,0.7249651447416081,0.13588696718215942,0.18256568575054646,3.3366425991058284,2.9955936030152825,0,0,39,116,137,57,-3.2837064108500735,-2.3149274052117863
84,02015700,0.6333906603071754,0.14336590603253957,0.6014950986654618,0.28350961208343506,0.2152583883314572,3.927037811279292,3.178004818247107,0,0,0,88,108,44,-2.4296394643494637,-2.2654474456072657
85,02016000,0.6799083448741552,0.05172648722307711,0.6187613292604679,0.1557970494031906,0.1796912317633491,3.689929962158203,3.000647314148397,0,0,10,151,166,48,-2.891921949156265,-2.3315647235463084
86,02017500,0.7768874430342073,0.027944809243552332,0.729219741813393,0.08550290018320084,0.1909116447996867,3.9880352020263623,3.099026297717771,0,0,541,110,191,66,-4.22989032694194,-2.3883309179078225
87,02018000,0.7270914689240819,0.034189431270806585,0.7399163804605905,0.10915263742208481,0.15417827946736548,3.7341692447662354,2.956710356560138,0,0,163,168,194,69,-3.5791919058325314,-2.3997954475238026
88,02027000,0.6962348753386907,0.10931051383827463,0.8363954333158754,0.09043855220079422,0.14517383392933864,4.982249784469588,4.025995862945834,0,0,690,449,100,68,-2.8528081584466514,-2.7934704412886044
89,02027500,0.5135722163613532,0.23241864180674693,0.6748274050912357,0.10896596312522888,0.13312435093893213,5.091681957244873,3.7904297146099513,0,0,729,466,62,64,-2.704484955170511,-2.779511469995108
90,02028500,0.5975703385081802,0.011042268046535585,1.1051475232628183,0.055824678391218185,0.14600834162067014,4.296506404876709,3.6554716674665055,0,0,844,367,102,73,-3.1396724139946928,-2.711724430587487
91,02038850,0.5894558427986174,-0.17114486702122983,0.7308486418256147,0.06307590752840042,0.10303516242789121,2.3238492012023926,2.92374319992082,0,0,470,418,109,75,-2.4573643563350873,-2.841412758417887
92,02046000,0.5662252543171199,-0.16204786889967027,0.6992722832495164,0.012544672936201096,0.12494933180985843,3.4874191284179688,3.1130704437316594,3,0,1255,349,262,63,-4.182074653033026,-2.5411470924941493
93,02051500,0.5170950904141256,-0.14429522744443626,0.7500370069619843,0.051360439509153366,0.12054737952975433,2.997737574577322,2.815638730092899,0,0,570,351,204,56,-3.102881266135168,-2.4349996764161417
94,02053200,0.3117145818640761,-0.14388590187391295,0.7768931842006574,0.007980270311236382,0.16498861276265298,3.5659210681915283,2.618194447780419,0,0,1459,185,457,54,-5.915461048375508,-2.1780456283248575
95,02053800,0.7382474882963282,-0.07745244830793563,0.8569865548578601,0.13872030377388,0.14558484801425212,2.609675645828247,2.863608322996564,0,0,65,163,97,75,-2.55672759823547,-2.6889608479524396
96,02055100,0.6212362600440358,-0.04806797914215411,0.8413055166154121,0.09692636132240295,0.1128578645550249,2.7462470531463623,2.9560558945909223,0,0,323,334,88,83,-2.8463037456295903,-2.4856103422815705
97,02056900,0.7701431086158514,-0.023285993621558834,0.9818934009905388,0.14791806042194366,0.10857956071339431,2.5976054191589313,2.8726592786958784,0,0,196,327,79,86,-2.3838582448280192,-2.816083591764229
98,02059500,0.6649291259037333,-0.23839175358512318,0.8537340205531109,0.10556209087371826,0.09887129320605824,2.2218306064605713,2.920253461596686,0,0,207,409,99,83,-2.286985033085365,-2.6843982064844867
99,02064000,0.667596494209447,-0.05137309636075482,0.6172309572167208,0.10882187634706497,0.10000767677800855,2.5429954528808594,2.8793496821347966,0,0,251,378,116,86,-2.346948064710601,-2.861996788106383
100,02065500,0.6778641862947815,-0.06231154546307874,0.8041098206739263,0.1355578750371933,0.10082718455976478,2.3345003604888865,2.915546201207493,1,0,221,398,90,85,-2.0274230477114124,-2.899797535397017
101,02069700,0.5104202544385651,-0.1375211986631553,1.3295978023467334,0.341537901759148,0.22465968067302422,2.70798659324646,3.709873123300923,0,0,20,118,34,55,-1.6884592521143416,-2.2851319088925424
102,02070000,0.5983556443291658,-0.08782310320446544,1.0756818923963434,0.28000950813293457,0.15568212031767398,2.364330124855032,3.2565497753195563,0,0,60,207,54,71,-1.5665474849069074,-2.508763902705824
103,02074500,0.519985727941261,-0.05322568756898497,0.709812770496644,0.19581745564937592,0.1147881649684275,2.188047170639038,2.9605430980973786,0,0,53,328,96,69,-1.570740832522555,-2.741989263453658
104,02077200,0.5145032757480685,-0.028732671773367784,0.4701506952523096,0.0,0.10564318619213038,3.0492211818694956,2.680413792755674,404,0,1331,405,327,64,-4.766879600797653,-2.672301881731959
105,02081500,0.5418985502538697,-0.1365327021283353,0.49667723933908864,0.0033330771373584886,0.125351656856898,3.299124002456665,2.7459029496924248,52,0,1369,327,437,50,-4.731017567364002,-2.52096979794375
106,02082950,0.5231035754509306,-0.2072707961889032,0.6449566669657045,0.014949659816920757,0.13457117431011015,3.0545357465743987,2.8104441670724496,0,0,1048,341,196,51,-3.4136730208362,-2.408287928155772
107,02092500,0.3139795536555282,-0.10268877232488428,0.8331704206878892,0.019688168540596962,0.2049408989206315,3.9494465351104706,3.0083198705119703,0,0,1146,95,295,69,-4.049884878577137,-1.898812567794968
108,02096846,0.4852614099191288,-0.3087159226311382,0.5697441334521325,0.0,0.10879414115290571,2.632052183151245,2.634279139582477,438,0,1547,352,461,64,-5.3442078606986465,-2.691151953162359
109,02102908,0.3168329596193967,0.3169065167266705,1.1545483544872823,0.4087294638156891,0.11520614522594082,2.8487205505371094,2.408309285113053,0,0,12,249,20,82,-1.3054027536024961,-2.511830899945307
110,02108000,0.08406614557926384,0.04879188784164799,0.9396141835903825,0.045595036447048244,0.21431652831080672,4.117752552032471,2.96554797401121,0,0,893,98,134,69,-3.2897654198675306,-1.8550963585343447
111,02111180,0.8120215436063308,0.11032511275540502,0.8557534611139688,0.29706311225891113,0.23867408250712352,3.898953437805176,3.514063028208521,0,0,74,138,52,45,-2.0237254338023436,-2.2563417187670023
112,02111500,0.6891522081815837,0.021404510394349742,1.1335628354807323,0.34961947798728943,0.1767589852776897,2.819204473495478,3.3557323324172414,0,0,34,222,34,61,-1.721163683464428,-2.5289492721868383
113,02112120,0.6952978247521655,0.0453562458393068,1.1170076301917702,0.3027055859565735,0.1756734073284139,2.7324716329574548,3.0888561906997976,0,0,58,171,38,59,-1.8272609547906333,-2.4159279667866596
114,02112360,0.6127090364610328,0.20660030690744224,1.0923016278215705,0.3957621455192566,0.16697273606330626,2.842291831970215,2.8791563773711566,0,0,29,152,23,62,-1.4678558359544356,-2.365681036661697
115,02118500,0.7112484726851755,0.004683296665825881,0.8951486007282055,0.22558829188346863,0.12339144663820452,2.3784323215484586,2.88861419481604,0,0,75,291,54,65,-1.797162775386643,-2.587880128934785
116,02125000,0.35046282147739694,0.12301612777355982,0.32552649367381714,0.0,0.09125399455066434,3.2634201049804688,2.39112093337759,319,0,1535,302,619,80,-6.215971809646401,-2.7765459282976717
117,02128000,0.37860278616518084,0.06420580704298631,0.40883832911984774,0.014264634810388088,0.10426977722476008,3.02321109771728,2.515956094773842,6,0,1014,277,241,64,-3.571681826576041,-2.7797053387768553
118,02137727,0.7556322934186419,0.16468741097540945,0.6951628477345526,0.38251298666000366,0.21073941353308995,3.8033790111541705,3.437560130057233,0,0,97,223,41,38,-1.928873668567547,-2.282217932100285
