,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
0,01022500,0.8069809256633204,0.18144181157570471,0.77599075635498,0.20399370789527893,0.2349877809176277,7.2438578605651855,5.605432332009338,0,0,522,263,70,51,-3.047822069004344,-2.8259155982229327
1,01031500,0.8542510010129063,0.00108232619598032,0.8450715116147571,0.10147995501756668,0.16963186429623414,8.6257963180542,7.508963944949684,0,0,602,480,315,156,-3.4704136279808453,-3.095879632349326
2,01047000,0.8326837557077206,0.01447275931531924,0.8801533977232382,0.19784098863601693,0.26487720257004305,8.48922557830809,7.544415467913376,0,0,297,208,248,138,-2.9816648519869386,-2.840152123375904
3,01052500,0.84772981969013,0.008126337774750634,0.8958566525759993,0.2984311878681183,0.30700465744443706,8.896979618072475,8.52661890114455,0,0,134,128,225,171,-2.5849453102727518,-2.7185142726809586
4,01054200,0.6914918381934252,-0.07773161117023411,0.8647148606411303,0.2851389944553375,0.41590194594472346,10.550142288208008,10.243093219984152,0,0,199,128,246,132,-2.8072995153586877,-2.7511308977578603
5,01055000,0.6960846853604913,0.05269776165828774,0.7728650636033546,0.20480571687221527,0.2700490811977202,8.955860996246322,7.789686906998271,0,0,271,160,262,152,-2.884875175690765,-2.8954832001657285
6,01057000,0.7956592052377207,-0.06596553512916464,0.9129197888821338,0.09257456660270691,0.2604222483290885,7.701689720153809,7.182283708339362,0,0,623,179,208,90,-3.012240792270775,-2.793268672069164
7,01073000,0.8526397061052412,-0.06251470221406441,0.9265392491795593,0.06404349207878113,0.24332246663098306,6.248146057128906,5.5455255808102,0,0,966,297,146,72,-3.452831226219406,-2.76600567414433
8,01078000,0.7961918960858723,0.04079517902828418,0.8952898863742017,0.14318667352199554,0.23654194581646154,7.0723204135894715,5.6898447858156,0,0,512,140,165,95,-2.8312400280755705,-2.717107091459663
9,01123000,0.7391271939309557,0.09875004701325006,0.9142785695771767,0.21735736727714539,0.22451693849463777,5.134674072265625,4.653589705911049,0,0,282,126,80,66,-2.7210351019686714,-3.024774894345497
10,01134500,0.7455300946731988,0.010779758046246785,0.945733104435945,0.26390522718429565,0.3270401106555625,7.31897158622739,6.799175821016086,0,0,216,112,134,102,-2.5458464268568086,-2.414031467830208
11,01137500,0.7675823121223794,0.10294630043345318,0.8741594499961838,0.5178257822990417,0.5456290577173709,8.558149909973126,7.161524766030713,0,0,43,0,122,86,-2.3775191732472676,-2.264248710507425
12,01139000,0.7614061782827394,0.04698795655601317,0.8942346466191976,0.28715912699699436,0.29839828829927334,5.352300310134872,4.986521660714778,0,0,144,61,53,50,-2.333661340377595,-2.4955834829884473
13,01139800,0.7389170322477794,-0.032869113698286906,0.9128694703085106,0.26397544145584106,0.41837464737302865,5.596279144287109,5.449453811788689,0,0,268,2,27,11,-2.36087773357629,-2.290792944292901
14,01142500,0.7764935813414645,0.01561440771967823,0.842067899466985,0.219991073012352,0.3401648227017985,5.8870849609375,5.575800658743121,0,0,295,51,72,36,-2.443866293513395,-2.3931286011571227
15,01144000,0.8231371465566102,0.0828517082224036,0.8298276473235835,0.26022621989250183,0.2921072214472585,6.3289757728576586,5.641178891600604,0,0,231,109,71,48,-2.491996772052567,-2.514677253984351
