,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
0,01031500,0.832767426875085,-0.0024689582693121093,0.8674261677907354,0.10147995501756668,0.18591153651084688,8.6257963180542,7.828648098172947,0,0,602,415,315,169,-3.4704136279808453,-3.032979558052415
1,01139800,0.6806094413738564,0.11171719559123731,0.8026743697777522,0.26397544145584106,0.3955702050770491,5.596279144287109,4.672218665315192,0,0,268,0,27,16,-2.36087773357629,-2.0072715962363787
2,01187300,0.7349173464223866,-0.025738917731355844,0.7618666571454815,0.061735764145851135,0.23448292550190103,7.408291339874268,6.538364799988412,0,0,857,507,176,69,-3.1696016823717805,-2.6816958895226386
3,04296000,0.7723426077095137,-0.0943757477696358,0.8086752260030549,0.3175927400588989,0.506183580071297,6.213198423385617,5.3193210077550885,0,0,78,2,89,11,-2.4246038743273255,-1.870304011294791
4,01423000,0.8482096817935693,0.0007972685110807872,0.9888340156632589,0.11101280152797699,0.18732047599439822,6.068699836730926,6.435684608305324,0,0,678,488,90,94,-2.8123596767162087,-2.773014247239238
5,01466500,-4.266989016938731,-0.8035105469930658,2.4367427397421277,0.3418201208114624,0.441301500498742,1.4879229068756104,3.130520939066424,0,0,0,0,8,13,-1.080833099287003,-1.3635266724999744
6,01557500,0.8168805591480502,0.09514264495264194,0.8691472506002796,0.11571820825338364,0.1571205124997706,5.573760509490954,4.544124524798117,0,0,835,442,129,88,-3.419591615833857,-3.1975626264901997
7,01644000,0.7023405668331493,-0.14192329126911915,0.6881200743141518,0.021063968539237976,0.2149432638018184,3.4442434310913086,3.2529904964608094,0,0,1032,75,159,54,-3.8108085342360263,-2.1613798136753286
8,02027000,0.6848986145676899,-0.16375228996984728,1.0758371053620797,0.09043855220079422,0.23352897269201947,4.982249784469588,5.392579593971185,0,0,690,306,100,67,-2.8528081584466514,-2.57993588373941
9,02055100,0.6780997486130487,-0.1331663449554168,1.0735672065805446,0.09692636132240295,0.21715603163474093,2.7462470531463623,3.321459111661632,0,0,323,0,88,114,-2.8463037456295903,-2.0165224404061624
10,02081500,0.6942073631748644,-0.1460636890679253,0.6831614944834214,0.0033330771373584886,0.13453463940291674,3.299124002456665,3.2755717169867484,52,0,1369,80,437,171,-4.731017567364002,-2.6468503231561957
