gauge_id,geol_1st_class,glim_1st_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,gauge_lat,gauge_lon,elev_mean,area_gages2,area_geospa_fabric,soil_depth_pelletier,soil_depth_statsgo,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,frac_forest,lai_max,gvf_max,dom_land_cover_frac,dom_land_cover,root_depth_50,root_depth_99
1013500.000000,1.000000,0.815904,0.000000,0.171400,-14.701900,3.126679,1.971555,0.187940,0.313440,0.630559,12.950000,1.348958,1.000000,202.200000,3.427119,2.000000,47.237390,-68.582640,250.310000,2252.700000,2303.950000,7.404762,1.248408,0.558055,27.841827,55.156940,16.275732,5.376698,0.408717,0.000000,0.906300,4.167304,0.804567,0.883452,1.000000,NaN,NaN
1022500.000000,2.000000,0.590658,0.000000,0.071000,-14.213800,3.608126,2.119256,-0.114530,0.245259,0.587356,20.550000,1.205279,1.000000,233.650000,3.662226,3.000000,44.607970,-67.935240,92.680000,573.600000,620.380000,17.412808,1.491846,0.626229,59.390156,28.080937,12.037646,1.226913,0.000000,0.358472,0.923200,4.871392,0.863936,0.820493,1.000000,0.237435,2.238444
1030500.000000,1.000000,0.573305,0.052140,0.117800,-14.491800,3.274405,2.043594,0.047358,0.277018,0.624111,17.150000,1.207746,1.000000,215.600000,3.514262,1.000000,45.500970,-68.305960,143.800000,3676.170000,3676.090000,19.011414,1.461363,0.653020,32.235458,51.779182,14.776824,1.634345,1.330278,0.022016,0.878200,4.685200,0.858502,0.975258,1.000000,NaN,NaN
1031500.000000,1.000000,0.448928,0.026258,0.074700,-14.841000,3.522957,2.071324,0.104091,0.291836,0.587950,18.900000,1.148936,1.000000,227.350000,3.473644,1.000000,45.175010,-69.314700,247.800000,769.050000,766.530000,7.252557,1.279047,0.559123,35.269030,50.841232,12.654125,0.674594,0.000000,0.000000,0.954800,4.903259,0.870668,1.000000,1.000000,0.250000,2.400000
1047000.000000,3.000000,0.308488,0.000000,0.052200,-14.481900,3.323146,2.090024,0.147776,0.280118,0.628929,20.100000,1.165217,1.000000,235.900000,3.691706,1.000000,44.869200,-69.955100,310.380000,909.100000,904.940000,5.359655,1.392779,0.561181,55.163133,34.185443,10.303622,0.000000,0.000000,0.147867,0.990600,5.086811,0.891383,0.850450,1.000000,0.241027,2.340180
1052500.000000,1.000000,0.497458,0.000000,0.071100,-15.165800,3.730858,2.096423,0.152097,0.352698,0.561914,13.500000,1.129707,1.000000,193.500000,2.896707,2.000000,44.877390,-71.057490,615.700000,383.820000,396.100000,1.301349,1.494807,0.615538,30.557666,52.614646,11.143326,0.000000,0.000000,5.675527,1.000000,4.800830,0.880034,0.593588,1.000000,0.225615,2.237435
1054200.000000,3.000000,0.871443,0.000000,0.028800,-14.214700,4.067132,2.128355,0.104960,0.299642,0.523306,17.500000,1.194539,1.000000,220.300000,3.263704,2.000000,44.390440,-70.979640,472.310000,180.980000,181.330000,0.914754,1.477442,0.594526,58.376169,31.836472,9.851262,0.000000,0.000000,0.000000,1.000000,5.019827,0.886711,0.580954,1.000000,0.224857,2.232382
1055000.000000,1.000000,0.680843,0.000000,0.145500,-14.357800,3.494183,2.093235,0.167229,0.306049,0.599063,19.150000,1.167683,1.000000,224.850000,3.378663,2.000000,44.642750,-70.588780,423.120000,250.640000,251.160000,2.127059,1.369657,0.547021,53.862011,34.734492,10.346323,0.000000,0.000000,0.778016,0.991600,5.030033,0.886163,0.524249,1.000000,0.221455,2.209700
1057000.000000,3.000000,0.451111,0.077433,0.025100,-13.990300,3.570500,2.132744,0.079137,0.251158,0.597324,20.350000,1.169540,1.000000,239.300000,3.747847,1.000000,44.303990,-70.539680,215.590000,190.920000,197.700000,3.759146,1.500000,0.617100,69.006738,22.943292,7.817565,0.000000,0.000000,0.000000,0.941500,5.362949,0.905510,0.532781,2.000000,0.209186,2.073141
1073000.000000,3.000000,0.943375,0.000000,0.010000,-14.100000,3.503025,2.207616,0.030370,0.175032,0.630203,20.850000,1.226471,1.000000,249.000000,4.016129,3.000000,43.148700,-70.965060,37.670000,31.300000,32.110000,19.909091,1.305620,0.510062,56.570961,29.155056,9.967266,0.000000,0.000000,4.244209,0.900800,4.943950,0.841421,0.592432,1.000000,0.221470,2.033189
